"time","timePretty","ANGLE","isReviewed","isReviewedPositiveSighting"
"1539834153300","Thursday, October 18, 2018 2:41 PM","UPROAD",,
"1539730414773","Wednesday, October 17, 2018 9:53 AM","UPROAD",,
"1539666619531","Tuesday, October 16, 2018 4:10 PM","CLOSE",,
"1539761386062","Wednesday, October 17, 2018 6:29 PM","CLOSE",,
"1539814860327","Thursday, October 18, 2018 9:20 AM","CLOSE",,
"1539636889904","Tuesday, October 16, 2018 7:54 AM","UPROAD",,
"1539648340321","Tuesday, October 16, 2018 11:05 AM","CLOSE",,
"1539818914120","Thursday, October 18, 2018 10:28 AM","CLOSE",,
"1539941514092","Friday, October 19, 2018 8:31 PM","CLOSE",,
"1539942348724","Friday, October 19, 2018 8:45 PM","CLOSE",,
"1539865853536","Thursday, October 18, 2018 11:30 PM","UPROAD",,
"1539941006904","Friday, October 19, 2018 8:23 PM","CLOSE",,
"1539811595552","Thursday, October 18, 2018 8:26 AM","CLOSE",,
"1539836332516","Thursday, October 18, 2018 3:18 PM","CLOSE",,
"1539663675643","Tuesday, October 16, 2018 3:21 PM","UPROAD",,
"1539661161133","Tuesday, October 16, 2018 2:39 PM","CLOSE",,
"1539656177398","Tuesday, October 16, 2018 1:16 PM","UPROAD",,
"1539743216976","Wednesday, October 17, 2018 1:26 PM","CLOSE",,
"1539819443871","Thursday, October 18, 2018 10:37 AM","CLOSE",,
"1539649161634","Tuesday, October 16, 2018 11:19 AM","UPROAD",,
"1539836152669","Thursday, October 18, 2018 3:15 PM","UPROAD",,
"1539671329275","Tuesday, October 16, 2018 5:28 PM","CLOSE",,
"1539849676520","Thursday, October 18, 2018 7:01 PM","CLOSE",,
"1539650180576","Tuesday, October 16, 2018 11:36 AM","UPROAD",,
"1539662450526","Tuesday, October 16, 2018 3:00 PM","UPROAD",,
"1539813885643","Thursday, October 18, 2018 9:04 AM","UPROAD",,
"1539838066519","Thursday, October 18, 2018 3:47 PM","UPROAD",,
"1539672412016","Tuesday, October 16, 2018 5:46 PM","UPROAD",,
"1539804355653","Thursday, October 18, 2018 6:25 AM","CLOSE",,
"1539669051506","Tuesday, October 16, 2018 4:50 PM","CLOSE",,
"1539864160455","Thursday, October 18, 2018 11:02 PM","CLOSE",,
"1539748019861","Wednesday, October 17, 2018 2:47 PM","UPROAD",,
"1539669939744","Tuesday, October 16, 2018 5:05 PM","CLOSE",,
"1539838375556","Thursday, October 18, 2018 3:52 PM","UPROAD",,
"1539649027697","Tuesday, October 16, 2018 11:17 AM","UPROAD",,
"1539933358837","Friday, October 19, 2018 6:15 PM","UPROAD",,
"1539759071722","Wednesday, October 17, 2018 5:51 PM","UPROAD",,
"1539943691333","Friday, October 19, 2018 9:08 PM","UPROAD",,
"1539850613151","Thursday, October 18, 2018 7:16 PM","CLOSE",,
"1539649536571","Tuesday, October 16, 2018 11:25 AM","UPROAD",,
"1539861909964","Thursday, October 18, 2018 10:25 PM","UPROAD",,
"1539829757670","Thursday, October 18, 2018 1:28 PM","UPROAD",,
"1539752897001","Wednesday, October 17, 2018 4:08 PM","CLOSE",,
"1539761735775","Wednesday, October 17, 2018 6:35 PM","UPROAD",,
"1539668552066","Tuesday, October 16, 2018 4:42 PM","UPROAD",,
"1539657045936","Tuesday, October 16, 2018 1:30 PM","UPROAD",,
"1539741820838","Wednesday, October 17, 2018 1:03 PM","CLOSE",,
"1539629331871","Tuesday, October 16, 2018 5:48 AM","CLOSE",,
"1539761948121","Wednesday, October 17, 2018 6:39 PM","UPROAD",,
"1539837271103","Thursday, October 18, 2018 3:33 PM","UPROAD",,
"1539670503882","Tuesday, October 16, 2018 5:15 PM","CLOSE",,
"1539956521680","Saturday, October 20, 2018 12:42 AM","UPROAD",,
"1539757855453","Wednesday, October 17, 2018 5:30 PM","CLOSE",,
"1539737393034","Wednesday, October 17, 2018 11:49 AM","UPROAD",,
"1539660581059","Tuesday, October 16, 2018 2:29 PM","UPROAD",,
"1539653215974","Tuesday, October 16, 2018 12:26 PM","CLOSE",,
"1539861996598","Thursday, October 18, 2018 10:26 PM","UPROAD",,
"1539649542462","Tuesday, October 16, 2018 11:25 AM","UPROAD",,
"1539835820121","Thursday, October 18, 2018 3:10 PM","UPROAD",,
"1539817270009","Thursday, October 18, 2018 10:01 AM","CLOSE",,
"1539771725852","Wednesday, October 17, 2018 9:22 PM","UPROAD",,
"1539804458414","Thursday, October 18, 2018 6:27 AM","CLOSE",,
"1539862899807","Thursday, October 18, 2018 10:41 PM","UPROAD",,
"1539626938327","Tuesday, October 16, 2018 5:08 AM","CLOSE",,
"1539666926452","Tuesday, October 16, 2018 4:15 PM","CLOSE",,
"1539628480792","Tuesday, October 16, 2018 5:34 AM","CLOSE",,
"1539723242194","Wednesday, October 17, 2018 7:54 AM","CLOSE",,
"1539809225992","Thursday, October 18, 2018 7:46 AM","CLOSE",,
"1539840780915","Thursday, October 18, 2018 4:32 PM","CLOSE",,
"1539932722719","Friday, October 19, 2018 6:05 PM","UPROAD",,
